label,sentence
1,"As seen in this and other developments, criticisms of Prime Minister Sharon's hard-line military policy against the Palestinians are mounting inside Israel."
1,"The team from the organisation\'s Council of Ministers, on the other hand, considered the vote a ""true reflection"" of the people\'s will."
1,"The SADC on Saturday endorsed the vote, despite its Parliamentary Forum, which judging that the March 9-11 election ""did not conform with the norms and standards of the SADC Parliamentary Forum,"" signed on to by Zimbabwe."
0,"Several other heads of state had by Saturday indicated they would attend, including Tanzania's Benjamin Nkapa and Malawi's Bakili Muluzi, currently also the SADC's president."
0,"Mbeki was, however, already on the record as saying that the Commonwealth also had other issues to consider."
0,"Their decision would be based on the Commonwealth observer team's report on the legitimacy of the election as well as those prepared by the Southern African Development Community, the Organisation of African Unity and the SA Observer Mission."
0,JOHANNESBURG March 16 Sapa MBEKI TO MEET WITH MUGABE AND TSVANGIRAI IN HARARE ON MONDAY
1,"In terms of the Commonwealth's mandate, action against Zimbabwe could range from collective disapproval to suspension."
1,"Mbeki, Obasanjo and Howard have been mandated by the recent Commonwealth Heads of Government Meeting (CHOGM) in Australia to decide what action should be taken on the situation in Zimbabwe."
1,"The team acknowledged that the election campaign had been characterised by ""polarisation, tension and incidents of violence and intimidation."""
1,CHOGM had also decided to look at ways of helping Zimbabwe with land reform and food aid.
1,Mugabe was to be inaugurated again as Zimbabwean president on Sunday following his controversial re-election last weekend.
0,"Khumalo said Nigerian President Olusegun Obasanjo would also attend the talks, which would culminate on Tuesday when the two met Australian Prime Minister John Howard in London."
0,No reason was provided why Mbeki could not attend.
1,He was first elected Prime Minister in 1980 and has effectively ruled the country ever since.
1,"Meanwhile, Foreign Affairs spokesman Ronnie Mamoepa said Mbeki's deputy, Jacob Zuma would represent the country at the controversially re-elected President Robert Mugabe's latest inauguration, scheduled for Sunday in Harare."
1,"The Organisation of African Unity (OAU) also backed Zimbabwean President Robert Mugabe\'s re-election, with its observer team describing the poll as ""transparent, credible, free and fair""."
0,Reports from Lagos indicated that Obasanjo would also not attend.
0,"(CORRECTS TITLE OF AUSTRALIAN PM, UPDATES WITH ZUMA ATTENDING INAUGURATION) President Thabo Mbeki would fly to Harare on Monday to meet Zimbabwean President Robert Mugabe and later with opposition leader Morgan Tsvangirai, presidential spokesman Bheki Khumalo told Sapa on Saturday."
1,"Mamoepa said the key points on the agenda now was Zimbabwe\'s economic recovery and social stability ""within the context of national unity."""
1,"State-sanctioned land invasions, several times declared illegal by Zimbabwe's courts, as well as a drought have disrupted Zimbabwe's food production and famine is already looming in much of the country."
1,"The Commonwealth team earlier this week said that ""the conditions in Zimbabwe did not adequately allow the free and fair expression of will by the electorate""."
1,"South Africa\'s observer mission also endorsed the vote, saying in an interim report that ""(o)verall ... the authorities charged with conducting the elections discharged their work satisfactorily."""
0,It has now taken place.
1,But it must demand that the countries of Africa put their own house in order.
1,"Fortunately, Europe is no longer ""Africa\'s policeman."""
1,It is time to speak the language of truth.
1,They amounted to no more than a ban on holidays and a golden retirement.
1,"Robert Mugabe remains in power thanks to the maize, oil, and electricity he supplies to South Africa."
1,"The electoral hijacking had been announced, prepared, and organized."
1,"The ""war for land"" continued, at the risk of causing famine."
1,"Following the presidential vote in Zimbabwe, there is just one thing Robert Mugabe cannot be reproached for, and that is having made a secret of his determination to stay in power by every possible means."
1,"Finally and most importantly, Great Britain remained locked in the familiar psychodrama between the former colonizer and colonized."
1,"Since he nearly lost his parliamentary majority in June 2000, the head of state has stated and restated to his supporters that the presidential election was going to be a ""war."""
1,The independence of Zimbabwe's justice system was compromised.
1,The local press was harassed.
1,"Kenya and Tanzania even ""congratulated"" Robert Mugabe on his re-election after the first round."
1,In Zimbabwe it is better to have an end to the torment than torment without end.
1,He was as good as his word.
1,"Africa, with its own ""observers,"" has just ratified a shameful electoral sham."
1,The real secret of the ballot box will never be revealed.
1,"The army swore allegiance to the ""father of independence,"" regardless of the verdict at the ballot box."
1,"Either the New Partnership for African Development (Nepad) is merely to entertain the international gallery during the occasional conference on ""sustainable development"" or Africa must itself impose a minimum of probity and respect for fundamental liberties."
1,Should one be surprised?
1,"Indignant protests apart, nothing was done to prevent the disaster awaiting one of the key countries in southern Africa, seen as the continent's growth pole."
1,"The weapon of so-called ""intelligent"" sanctions proved ineffective, especially as the punitive measures were taken too late and only served to deny Robert Mugabe and his associates trips abroad and access to the funds they have spirited away."
1,"The opposition MDC (Movement for Democratic Change) was the victim of ""state terrorism"" that its candidate Morgan Tsvangirai rightly condemned after being beaten in an election loaded against him from start to finish, from drawing up the electoral lists to counting the votes."
1,"This ""fait accompli"" in Zimbabwe is a challenge for the international community."
1,"Either the absence of democracy in Africa is no longer any more of a problem for Europe than the lack of development, or it is time to get serious about ""good governance"" as a condition for aid."
1,It can only rise to meet it by making some radical changes.
1,This directive is issued at a time when the American government is claiming to lead the fight against terrorism throughout the world.
1,"It seems that following the blow that the Americans received on September 11 in New York and Washington, the United States is determined to take justice to pre-historic times."
1,"After all the United States is not violating the rights of one human being, but many many human beings."
1,"Now the United States has issued an assassination order against millions of human beings without having any proof, reason or documentation."
1,In a coordinated move the European countries all recalled their ambassadors from Tehran in order to put the Islamic Republic of Iran under pressure.
1,The only reason for this would be opposition to the United States.
1,"If the European countries were honest in the withdrawal of their ambassadors from Iran, blaming Iran for violating human rights, then they should recall their ambassadors from the United States."
1,US President Bush has ordered the US Central Intelligence Agency (CIA) to assassinate America's opponents wherever in the world they may be!
1,"No one will allow this human achievement, which is the discovery of God-given human rights, which is achieved after thousands of years of research, to be wasted away."
1,This was not simply a directive from God that was confirmed by all the clerics throughout the Islamic world.
1,They said it was an act of terrorism that was against international law and said it crushed human rights principles!
1,By clarifying the Imam's edict the Islamic Republic of Iran made the people of the world understand that insulting the Prophet was in fact violating the rights of millions of people throughout the world.
1,It is obvious no country will put up with this cruelty.
1,It would therefore be appropriate for all Islamic countries to withdraw their ambassadors from the United States.
1,"When the Imam (may God be satisfied with him) issued the fatwa against Salman Rushdie for insulting the Prophet (peace be upon him) and the holy Koran, the countries that are so-called supporters of human rights protested against the fatwa."
1,The United States thinks that it can silence the justice-seeking cries of the peoples of the world with the sound of explosions from 7-ton bombs and it thinks that it can justify its own inhuman behavior in the shadow of this noise.
1,Alaibe said that the commission was genuinely determined to change the tide of things in Bayelsa and other NDDC states who have been long neglected over years.
1,"In an interview with journalists later, NDDC Executive Director, Finance and Administration, Mr. Timi Alaibe, said that the choice of Odi was a deliberate policy to give the people of the area who are still recovering from the trauma of the 1999 sad incident a sense of belonging."
0,He added that the report would be presented before the house as soon as it resumes sitting.
0,"A breakdown of the statistics of patients that benefited from the exercise showed that 106 received general surgeries, 20 had eye cataract operations, 260 got eye glasses, while 1, 988 others had general consultations."
0,"Meanwhile, reports of investigation into the recent oil spillage that occurred in Umudike Ohaji Egbema council in Imo State which left eight persons dead and many others injured is ready."
0,"OVER 2,374 Bayelsa State people have received free medical services for various ailments, courtesy of the Niger Delta Development Commission (NDDC)."
0,The member representing the Ohaji Egbema Oguta Federal Constituency in the House of Representatives Tony Okere disclosed this on Wednesday while fielding questions from reporters in his constituency office.
1,"""With the combined goal of providing free quality health care in this rural areas through the dispensing of prescribed drugs as well as undertaking surgeries that came to the medical site daily, we made it to give the patients we come in contact with health advice and education, hopefully to prevent further problems in the future,"" Nortman said."
0,"Apart from Odi whose people topped the number of beneficiaries (they got 1, 733 out of 2, 374 persons treated), other councils which participated in the free health care are Kolokuma/Opukoma, 284 persons, Kaiama, 213 persons, among others."
1,"On the activities of the NDDC, Okere accused the commission of siting projects in non oil producing areas, warning that it might derail from its set objectives."
0,"He said the compositions of the committee included representatives from the Directorate of Petroleum Resource of the Nigerian National Petroleum Corporation (NNPC), government, Shell and the host community to ensure justice and fairness, law to protect only one party"" he said."
0,"Co-ordinator of the project, Mr Sean Nortman, told reporters that 52 volunteers from various fields in medicine help to make the project a reality."
0,"Analyst Luis Vicente Leon, head of the influential polling firm Datanalisis, told AFP on Wednesday that the ""president continues to control power,"" and that ""the military sector, despite the emergence of another dissident general, shows no sign of contravening the president\'s authority: Chavez still controls the troop posts."""
1,"He was followed by Division General Rafael Damiani, from the militarized National Guard (GN), who condemned the fact that President Chavez ordered troops to use force in putting down a demonstration in Caracas in support of the striking managers of the state-owned PDVSA [Venezuelan Petroleum, Inc.]."
1,"""At this point, the military would have to intervene, either pressuring both sides into a real agreement or opting for an unconstitutional way out (a coup),"" he predicted."
1,"The national strike is an important battle in the long-range war whose final result is not shaping up as a romance,"" he said."
1,"Opponents of the president who assembled this Wednesday in one of the offices of the state-owned Venezuelan Petroleum (PDVSA), joining the strike waged by its executives since Thursday [4 April], are carrying signs appealing for support for the men in uniform."
1,"The analyst observed that ""Venezuela is now radicalized between an inept, abusive and authoritarian government and a neutralized, heterogeneous, impatient and politically immature opposition."""
0,"On Tuesday, the inspector general of the Armed Forces, General Lucas Rincon, accompanied Civil Defense Minister Jose Vicente Rangel and Energy Minister Alvaro Silva Calderon in a tour of the strategic oil facilities of the state-owned PDVSA, whose managers are completing their seventh day of the strike that paralyzed refining operations and shipments of fuel."
1,"Following their tour, Rincon supported the official report by stating that ""the supply of oil to the main national and international markets (this country\'s main source of foreign exchange) is normal and meets existing agreements."""
1,"General Gonzalez, who reviewed the Venezuelan-Colombian border conflict, accused Chavez of lying when he stated that the Colombian guerrillas are not entering Venezuelan territory and contradicted him: They are indeed entering and ""have been fought militarily"" by troops from this country."
1,"""Soldiers, where are you?"""" and ""Soldier, support us,"" read some of the posters carried by the strike sympathizers."
1,"""The conflict will intensify in time."
1,"Leon added that the opposition has viewed the PDVSA conflict as ""the perfect lifesaver for reviving civilian social pressure for Chavez\' ouster from power, this following a cooling"" of such pressure in recent days."
0,"At the same time, security at oil facilities at bases of operations and in administrative areas of Caracas has been stepped up, it was reported."
1,"They have an existential conflict: Chavez wants to take over the institutions, and they want to oust him from power."""
0,"Luis Alberto Camacho, deputy minister of citizen security, reported that 22,000 members of the National Guard, one of the components of the Armed Forces, have been deployed throughout the country in order to safeguard individuals and property during the general strike."
1,The alternative of a state of emergency was explicitly ruled out this Wednesday by Interior Minister Ramon Rodriguez Chacin.
1,"The analyst noted that although there is growing unrest in the streets, the opposition\'s hope of the immediate exit of the chief of state ""looks presumptuous."""
1,"Army Brigadier General Nestor Gonzalez, who commands no troops, appeared at a press conference on Wednesday and made pronouncements against the chief of state, joining five other dissident officers on active duty who rebelled in February."
1,"""With the guerrillas in particular, we supply the dead, while you enjoy politics,"" Gonzalez said, the first of the military officials to rebel on Wednesday."
1,"Leon visualizes two scenarios: In the first, tension will increase in the days ahead, but not destabilize the government, then dwindle toward the end of the week and generate frustration among the opposition over not achieving its objective, a factor that would in turn strengthen Chavez."
1,"He further noted that the ""possibilities of negotiation between these two groups are becoming nonexistent."
1,"Speaking in his turn, Army Commander Efrain Vasquez and General Francisco Belisario Landis, commanding officer of the GN, affirmed that their forces are participating in the Armed Forces' plans of alert and denied that there is any militarization of the facilities of the state-owned Venezuelan Petroleum (PDVSA)."
1,"However, Datanalisis analyst Leon indicated that even though Chavez still controls the military forces at the present time, this fact ""constitutes no permanent life insurance,"" since the current indefinite general strike called by the opposition CTV and the FEDECAMARAS [Venezuelan Federation of Associations and Chambers of Commerce and Industry] leadership is only one battle in a war that he predicts will be a long one."
1,"The second, ""not to be dismissed,"" he said, is that Chavez will remain strong in his position vis-a-vis his opponents and declare a state of emergency with the suspension of guarantees, the people would declare themselves in a state of civil disobedience, and uncontrolled violence would be unleashed."
1,"However, the high military commands supported the government during the emergency caused by the strike staged by the trade union and business association opposition, a strike that was extended indefinitely on Wednesday night, according to Carlos Ortega, president of the Venezuelan Workers Confederation (CTV), the largest labor confederation in the country."
1,"Damiani, an official on active duty, said he had revealed the information in order to try to impede ""this action resulting from a presidential folly that will sully the name of the Armed Forces and especially the National Guard."""
1,"The second rebel, GN Div Gen Damiani, accused Chavez of having ""ordered the National Guard to use force for the purpose of removing individuals positioned"" in front of one of the PDVSA buildings in Chuao in this capital."
1,"Caracas (AFP) -- The Venezuelan Military High Command maintains its support for President Hugo Chavez despite calls from the opposition to take part in an indefinite general strike declared Wednesday night [10 April], and despite the individual acts of insubordination of two generals on that same day, one of them in command of no troops."
1,The current summit will hopefully allow the CIS countries to lay new ways towards rapprochement.
1,"""We cannot stand on the sidelines of this global tendency,"" the Kazakh president said."
1,"He said, however, that a real unification will take place after all, since the CIS countries have far more reasons for a union that the European Union countries."
1,Kazakh president optimistic about future of CIS
1,"Moscow, 29 November: Kazakh President Nursultan Nazarbayev, who has arrived in Moscow to attend the 10th anniversary summit of the Commonwealth of Independent States, said upon his arrival on Thursday [29 November] that ""certain apathy"" to the commonwealth has developed in the CIS member countries."
1,"Concerning the delimitation of the border between Kazakhstan and Russia, Nazarbayev said that this process is continuing without any disagreements and with mutual respect for each other's interests, and that documents on the final delimitation are likely to be signed next year."
1,He said this tendency reflects the economic and cultural traditions of the CIS countries which were formerly part of the Soviet Union.
0,"Getting back to the problem of broadening all-round cooperation between the CIS countries, Nazarbayev said that a new factor - globalization - is accelerating this process."
1,"Making his point clear, he said that the former Soviet republics ""have not completely fallen apart, but have not formed a sufficiently strong alliance on a new basis either""."
0,"The Germany-based auto giant recalled 150,000 Mercedes-Benz luxury cars throughout Europe and the Middle East on Friday to fix a defect that could cause the driver's side air bag to deploy prematurely, the newspaper said."
1,"The recall conducted in China in 1999 was purely a precautionary measure and no reports of any incidents in China had been received at that time, China Daily quoted the statement as saying."
0,"Beijing, July 17 (XINHUA)-- DaimlerChrysler AG said Monday that the international recall of Mercedes-Benz luxury cars did not affect vehicle owners in China."
1,"The China Consumers Association said Monday that it had received five complaints of problems related with Benz cars in China, according to China Daily."
0,"A written statement made by the company's China branch revealed that no glitches had been found in China since its last recall in 1999, Tuesday's China Daily reported."
1,The exclusion of China from the recall has led to claims that the firm was biased against Chinese customers.
0,"The problem was first discovered in March 1996 in Indonesia and led to a November 1999 recall of cars in the United States and Asia, where hot, humid conditions were thought to trigger the air bags."
1,"According to military experts, it is possible that clashes will resume between the Taleban and UIFSA forces in various regions of Afghanistan in the next few days and weeks."
0,"According to reports from Afghan sources, high-ranking Taleban commanders, including [Interior Minister] Mola Abdorrazaq Akhond and Mola Abdol Qahir [phonetic], visited the front line in [northeastern] Takhar Province yesterday morning, Tuesday."
0,"At the same time, a number of troops were sent to the Dara-e Suf area [Samangan Province] led by commander Yari and commander Samar from the Dehdadi military fort near Mazar-e Sharif."
0,The Taleban have also launched an offensive in the Andarab area in Baghlan Province.
0,"According to another report, [Taleban senior commander] Abdorrazaq Nafis has instructed the Mazar military fort to supply battle zones with the necessary means."
0,Taleban commanders have prepared themselves for new offensives on positions of the United Islamic Front [for the Salvation] of Afghanistan in some regions of Afghanistan.
0,"Over the last few days, the Taleban dispatched a number of their troops from [the capital of northern Balkh Province] Mazar-e Sharif under the command of Qayum and Hashim to Takhar."
0,"SA National Defence Force (SANDF) chief General Siphiwe Nyanda has left for China, SABC radio news reported on Sunday."
0,SANDF spokesman General Chris Pepane said this was Nyanda's first goodwill visit to China.
1,The visit is aimed at strengthening military relations between the two countries.
0,Nyanda is scheduled to return after a week and he will then immediately travel to the Democratic Republic of the Congo.
1,He also has a quality deemed necessary for exercising his office in the current crisis: political flexibility.
1,"Fernando Henrique was heard ""with interest and attention,"" as they say in diplomatic jargon, but he did not move the group."
0,"The Argentine question was raised by the president of the Swedish Trade Council, Ulf Dinkenspiel."
0,"After favorably describing Duhalde, the president asked for understanding and support for his Government."
1,"However, that is likely just an aggravating factor in the crisis: the politicians who are running the Argentine process are almost exclusively from Buenos Aires or the province of Buenos Aires, like Governor Carlos Ruckauf."
1,"One of the businessmen present told Valor that the uncertainties in relation to Argentina involve not only the future, but mainly the country's present."
1,"In his appraisal, the solution will demand many sacrifices by the elites and by the people, a true restructuring of the national compact."
1,President Fernando Henrique Cardoso made a harsh appraisal of the situation in Argentina in a private conversation with a group of Swedish businessmen last Friday in Stockholm.
1,"He said that, in face of the economic and government paralysis, it is not possible to rule out the risk of a breakdown in the nation's institutions."
1,"""We simply do not understand what is going on there,"" the businessman summarized."
1,"He said he believed that the risk of contagion in the region has been overcome, but he asked President Fernando Henrique Cardoso, who was in Argentina before traveling to Europe, for a more complete evaluation."
1,"The Brazilian president said that a solution for Argentina, even over a longer term, is not a sure thing, due to the institutional risk."
1,"That restructuring has to go beyond the relations between the provinces and the central government, a traditional question in Argentina, the president said."
1,"""There is concern over a degeneration of the democratic process in Argentina,"" the president stated, according to two of the meeting\'s participants."
1,"According to Fernando Henrique, President Eduardo Duhalde has ""quite a sharp insight"" into the scope of the crisis."
1,"Thinking of building a Great Wall of China in the Middle East, replete with elaborate fences and tunnels, is conceding that Israel is not safe, not a normal country."
1,Sharon has ensured that Israelis are rapidly absorbing the lesson that no place in Israel can be considered safe.
1,The only way out of the current spiral of violence is for Israel to limit itself to areas within which it can assume responsibility for its citizens' security.
1,"Practically speaking, a buffer zone will be near impossible to erect."
1,Unilateral separation without a negotiated agreement could be realized - only if Israel is willing to uproot around 100 settlements.
1,"The buffer zones that Ariel Sharon intends to establish are an explicit admission that Israelis can no longer live by the sword, that the occupation is not working, and Israeli reprisals are not meeting with success."
1,"A total disengagement from the Palestinians, complete with walls and razor wire, might provide Israel its long-desired security and might free it of the burden of trying to control seven million desperate Palestinians, any number of whom are willing to die in order to end the occupation."
1,"It cannot integrate itself into the region, it is an alien seedling and, thus, it is better to isolate and fortify itself as a lowly outpost."
1,Sharon has not brought the Israeli public security.
1,But Israel has not once deigned to propose that the Palestinians live with the Israelis as full citizens in the same sate.
1,Israelis do not wonder any longer how to get along with Palestinians but how to avoid the need for it.
1,"By a margin of 2-1, Israelis think Sharon has no plan to end the violence and the buffer idea buttresses this long-standing view."
1,"With grim determination, he has destroyed the peace process and the Oslo agreements."
1,Then there is the eventual goal of the peace process: the coexistence of Israel with the state of Palestine.
1,"Israel does not want the Palestinians to be part of the same country, or have one of their own."
1,But separation will not mean an end to the occupation and no Israeli government can provide security as long as it persists in its efforts to maintain its presence beyond Israel's pre-1967 borders and to retain territories inhabited by millions of Palestinians.
1,Sharon says flatly he will not withdraw from a single settlement.
1,A wall and miles of fences is not the best of solutions.
1,Does anybody believe that the intifada can end as long as Israel persists in the occupation of the territories and Palestinians are willing to die in large numbers to deny Israel that privilege?
1,He thinks that every settlement is important and is determined that Israelis must retain as much land in the West Bank and Gaza Strip as possible.
1,And now he doggedly continues to demolish and prevent any hope of a road to peaceful coexistence.
1,This means a return to Israel's pre-1967 borders.
1,"By now, it should be clear to everyone that retaliating against every act of Palestinian resistance with Israel's superior ability to punish Palestinians does not provide the security that Israelis are demanding."
1,A physical border between Israel and a new Palestinian state will be twisted and distorted to accommodate Jewish settlers in the West Bank and Gaza.
1,"Dismissing the EU move last week, President Mugabe said Zimbabwe would withstand the sanctions imposed by Britain and its allies and would never abandon the land issue."
1,"""The United States believes that targeted travel restrictions against those who are responsible for Zimbabwe\'s crisis will advance positive change by signalling our support for the democratic forces in Zimbabwe and focusing international scrutiny on the appropriate actors,"" the US embassy said."
1,"The move follows the European Union's decision last Monday to impose sanctions on Cde Mugabe, Cabinet ministers, senior Government and military officials, including a freeze on their alleged overseas assets and a travel ban to the 15-nation bloc."
1,West aims 'to prop up MDC
1,"""They are saying that they are placing sanctions on leaders so that they don\'t come to Europe."
1,"Nigeria, Tanzania, South Africa and the Organisation of African Unity lambasted the EU."
1,Namibia said Zimbabwe had the right to invite observers for its elections.
1,"The EU decision was roundly condemned by African countries, which described the move as neo-colonial."
1,"""This is neo-colonialism and economic colonialism."
1,"In a show of solidarity with Zimbabwe, Tanzanian President Benjamin Mkapa said African countries should not let themselves be manipulated by the EU and other powerful nations."
1,"I\'m saying this because some are beginning to forget that it was in Berlin where they had gone to decide on the Balkanisation of this continent into countries which they later came to colonise."""
1,"We can visit other countries in Asia and Africa,"" he said at a rally in Nkayi."
1,"However, the Government has said the sanctions are meant to prop up the opposition MDC ahead of next month's presidential election."
1,"The US embassy said the sanctions also applied to those who ""formulate, implement, or benefit from policies that undermine or injure Zimbabwe\'s democratic institutions or impede the functioning of a multi-party democracy."
1,It said there was no justification in the EU's move and the body should not regard itself as more competent than others in election observation.
1,Foreign Affairs Secretary Mr Willard Chiwewe said the West was in a hurry to prop up the MDC.
1,"""What will I be wanting in Europe?"
1,"Herald Reporter - THE United States has imposed targeted sanctions on President Mugabe and other senior Government officials for the alleged deteriorating political situation in the country, the US embassy said at the weekend."
0,"In a statement yesterday, the US embassy said the travel ban has been imposed on the President, senior Government officials, ""certain persons"" with business dealings with Zimbabwe Government officials and their families."
1,"Some $76 billion of the $132 billion debt is accounted for by foreign loans, which were lavished on Argentina."
1,"Because of the misguided policies of Argentina's politicians, Argentina is in a state of stagnation for a fourth consecutive years."
1,Foreign debts are around $132 billion and poverty is dominating the country like a dangerous virus.
1,The main problem that caused the recent shock is also a result of the restrictive economic policies that have been adopted on the advice of IMF experts.
0,"In the heat of crisis, the interim government has introduced new initiatives."
0,"This country has attracted a large amount of foreign investment by international companies, from the American continent to Europe."
1,Another important point is Argentina's connections with the global economy.
1,"What is clear is that Argentina's paralyzed economy was unable to tolerate the government's hardline policies, which finally resulted in the situation that we are witnessing today."
1,"Although IMF officials deny any connection their policies and the current situation, reports indicate that now an IMF executive delegation is actively making changes to Argentina's economy."
1,"Riots and widespread strikes, attacks on government buildings, and the plundering of stores have left scores of dead and casualties."
1,"Incidentally, the riots also occurred following the IMF's announcement of Argentina's debts."
1,"3 -- Finally, what fate awaits Argentina's crisis-stricken economy?"
1,Public dissatisfaction and an increase in the people's anger in this country have finally resulted in the collapse of Fernando Delaroe's government following several days of protest.
0,The unemployment rate has passed 18 percent and the hard currency is continuously being devalued.
1,"However, there are a few ambiguous points, such as: \n\t\n\t\n 1 -- What amount of Argentina's economic crisis is due to its relations with the global economy and how much effect will it have on the European and US economies due to its present stagnation?"
1,"2 -- What reaction is likely from other countries and international institutions to the government's new policies, for instance halting the payment of debts?"
1,The important point is that Argentina has enjoyed the IMF's advice in the execution of these policies.
1,The profound economic crisis in Argentina has coincided with a wave of social tension during recent days.
1,"Anyway, now in addition to the IMF, the US government, as the biggest investor in Argentina's economy, is ignoring its commitments in the current situation."
0,"Among them are halting the payment of debts and the execution of supportive actions for the poor people, controlling government and state expenses, attempts to increase employment, giving food help and trying to take out new loans, and the adoption of new monetary policies."
1,"Newspaper reports here Saturday said that it had also sent intelligence agents to interrogate the detainees, something the Foreign Office refused to comment on."
0,The government has sent a team of officials to the camp to assess the conditions of the British prisoners.
1,"The cross-party Parliamentary Human Rights Committee said it was lobbying for a meeting with US ambassador to London William Farish over fears that the 110 detainees held at Camp X-Ray, Guantanamo Bay, are being kept in inhumane conditions."
1,London meanwhile insists it supports US reassurances that the men are being treated humanely.
1,"""It\'s time we became much firmer with the Americans and insisted on the human rights we are all signed up to."""
1,"Ann Clwyd, chairperson for the committee and a member of the ruling Labour party, said it was ""playing with words"" to suggest that the detainees were not prisoners of war."
1,"Clwyd said the purpose of meeting Farish was to ""to voice concern about the treatment of all the people taken prisoner in Afghanistan, not just the ones being held in Cuba, and we want an acceptance that they are prisoners of war."""
0,"The makeshift outdoor facility houses single cells, each with a concrete floor, wooden roof and chain-link walls."
1,"We fought the war shoulder to shoulder, now it seems that we are being frozen out of the aftermath."
1,"She added that there was ""substantial concern"" among Labour members and called for a government statement on the situation."
1,"""It\'s time we had a clear statement on the position of the prisoners and what the British role now is."
1,"The United States says the detainees are illegal combatants, not prisoners of war, and thus do not have rights under the Geneva Convention of 1949, which sets out the laws of war."
